atomic number,element,element name,major isotope,isotope,atomic mass,mass,mass uncertainty,mass source year,mass source,abundance,abundance low,abundance high,abundance uncertainty,abundance kind,abundance source,standard,notes
30,Zn,zinc,64Zn,66Zn,66,65.926033639,7.98e-07,2020,AME2020,0.2773,,,0.0098,value,CIAAW 2024,CIAAW 2024,
30,Zn,zinc,64Zn,67Zn,67,66.927127422,8.1e-07,2020,AME2020,0.0404,,,0.0016,value,CIAAW 2024,CIAAW 2024,
30,Zn,zinc,64Zn,68Zn,68,67.924844232,8.35e-07,2020,AME2020,0.1845,,,0.0063,value,CIAAW 2024,CIAAW 2024,
30,Zn,zinc,64Zn,70Zn,70,69.925319175,2.058e-06,2020,AME2020,0.0061,,,0.001,value,CIAAW 2024,CIAAW 2024,
31,Ga,gallium,69Ga,69Ga,69,68.925573528,1.285e-06,2020,AME2020,0.60108,,,0.0005,value,CIAAW 2024,CIAAW 2024,
31,Ga,gallium,69Ga,71Ga,71,70.924702554,8.7e-07,2020,AME2020,0.39892,,,0.0005,value,CIAAW 2024,CIAAW 2024,
32,Ge,germanium,74Ge,70Ge,70,69.924248542,8.8e-07,2020,AME2020,0.2052,,,0.0019,value,CIAAW 2024,CIAAW 2024,
32,Ge,germanium,74Ge,72Ge,72,71.922075824,8.1e-08,2020,AME2020,0.2745,,,0.0015,value,CIAAW 2024,CIAAW 2024,
32,Ge,germanium,74Ge,73Ge,73,72.923458954,6.1e-08,2020,AME2020,0.0776,,,0.0008,value,CIAAW 2024,CIAAW 2024,
32,Ge,germanium,74Ge,74Ge,74,73.92117776,1.3e-08,2020,AME2020,0.3652,,,0.0012000000000000001,value,CIAAW 2024,CIAAW 2024,
32,Ge,germanium,74Ge,76Ge,76,75.921402725,1.9e-08,2020,AME2020,0.0775,,,0.0012000000000000001,value,CIAAW 2024,CIAAW 2024,
33,As,arsenic,75As,75As,75,74.921594562,9.48e-07,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
34,Se,selenium,80Se,74Se,74,73.922475933,1.5e-08,2020,AME2020,0.0086,,,0.00030000000000000003,value,CIAAW 2024,CIAAW 2024,r
34,Se,selenium,80Se,76Se,76,75.919213702,1.7e-08,2020,AME2020,0.0923,,,0.0007,value,CIAAW 2024,CIAAW 2024,
34,Se,selenium,80Se,77Se,77,76.91991415,6.7e-08,2020,AME2020,0.076,,,0.0007,value,CIAAW 2024,CIAAW 2024,
34,Se,selenium,80Se,78Se,78,77.917309244,1.91e-07,2020,AME2020,0.2369,,,0.0022,value,CIAAW 2024,CIAAW 2024,
34,Se,selenium,80Se,80Se,80,79.916521761,1.016e-06,2020,AME2020,0.498,,,0.0036000000000000003,value,CIAAW 2024,CIAAW 2024,
34,Se,selenium,80Se,82Se,82,81.916699531,5e-07,2020,AME2020,0.0882,,,0.0015,value,CIAAW 2024,CIAAW 2024,
35,Br,bromine,79Br,79Br,79,78.918337574,1.074e-06,2020,AME2020,0.5068600000000001,0.505,0.508,,interval,CIAAW 2024,CIAAW 2024,
35,Br,bromine,79Br,81Br,81,80.916288197,1.049e-06,2020,AME2020,0.4931399999999999,0.492,0.495,,interval,CIAAW 2024,CIAAW 2024,
36,Kr,krypton,84Kr,78Kr,78,77.920366341,3.29e-07,2020,AME2020,0.00355,,,3.0000000000000004e-05,value,CIAAW 2024,CIAAW 2024,g m
36,Kr,krypton,84Kr,80Kr,80,79.91637794,7.45e-07,2020,AME2020,0.02286,,,0.0001,value,CIAAW 2024,CIAAW 2024,
36,Kr,krypton,84Kr,82Kr,82,81.91348115368,5.91e-09,2020,AME2020,0.11593,,,0.00031,value,CIAAW 2024,CIAAW 2024,
36,Kr,krypton,84Kr,83Kr,83,82.914126516,9e-09,2020,AME2020,0.115,,,0.00019,value,CIAAW 2024,CIAAW 2024,
36,Kr,krypton,84Kr,84Kr,84,83.91149772708,4.1e-09,2020,AME2020,0.56987,,,0.00015000000000000001,value,CIAAW 2024,CIAAW 2024,
36,Kr,krypton,84Kr,86Kr,86,85.91061062468,3.99e-09,2020,AME2020,0.17279,,,0.00041000000000000005,value,CIAAW 2024,CIAAW 2024,
37,Rb,rubidium,85Rb,85Rb,85,84.91178973604,5.37e-09,2020,AME2020,0.7217,,,0.0002,value,CIAAW 2024,CIAAW 2024,g
37,Rb,rubidium,85Rb,87Rb,87,86.909180529,6e-09,2020,AME2020,0.2783,,,0.0002,value,CIAAW 2024,CIAAW 2024,
38,Sr,strontium,88Sr,84Sr,84,83.913419118,1.334e-06,2020,AME2020,0.0056,,,0.0002,value,CIAAW 2024,CIAAW 2024,g r
38,Sr,strontium,88Sr,86Sr,86,85.90926072473,5.63e-09,2020,AME2020,0.0986,,,0.002,value,CIAAW 2024,CIAAW 2024,
38,Sr,strontium,88Sr,87Sr,87,86.90887749454,5.5e-09,2020,AME2020,0.07,,,0.002,value,CIAAW 2024,CIAAW 2024,
38,Sr,strontium,88Sr,88Sr,88,87.905612253,6e-09,2020,AME2020,0.8258,,,0.0035,value,CIAAW 2024,CIAAW 2024,
39,Y,yttrium,89Y,89Y,89,88.905838156,3.63e-07,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
40,Zr,zirconium,90Zr,90Zr,90,89.904698755,1.26e-07,2020,AME2020,0.5147,,,0.0006000000000000001,value,CIAAW 2024,CIAAW 2024,g
40,Zr,zirconium,90Zr,91Zr,91,90.905640205,1.01e-07,2020,AME2020,0.1123,,,0.0006000000000000001,value,CIAAW 2024,CIAAW 2024,
40,Zr,zirconium,90Zr,92Zr,92,91.905035336,1.01e-07,2020,AME2020,0.1716,,,0.0004,value,CIAAW 2024,CIAAW 2024,
40,Zr,zirconium,90Zr,94Zr,94,93.906312523,1.75e-07,2020,AME2020,0.1736,,,0.0007,value,CIAAW 2024,CIAAW 2024,
40,Zr,zirconium,90Zr,96Zr,96,95.908277615,1.22e-07,2020,AME2020,0.0278,,,0.0004,value,CIAAW 2024,CIAAW 2024,
41,Nb,niobium,93Nb,93Nb,93,92.90637317,1.599e-06,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
42,Mo,molybdenum,98Mo,92Mo,92,91.906807153,1.68e-07,2020,AME2020,0.14649,,,0.0010600000000000002,value,CIAAW 2024,CIAAW 2024,g
42,Mo,molybdenum,98Mo,94Mo,94,93.905083586,1.51e-07,2020,AME2020,0.09187,,,0.00033000000000000005,value,CIAAW 2024,CIAAW 2024,
42,Mo,molybdenum,98Mo,95Mo,95,94.905837436,1.32e-07,2020,AME2020,0.15873,,,0.00030000000000000003,value,CIAAW 2024,CIAAW 2024,
42,Mo,molybdenum,98Mo,96Mo,96,95.90467477,1.28e-07,2020,AME2020,0.16673,,,8e-05,value,CIAAW 2024,CIAAW 2024,
42,Mo,molybdenum,98Mo,97Mo,97,96.906016903,1.76e-07,2020,AME2020,0.09582,,,0.00015000000000000001,value,CIAAW 2024,CIAAW 2024,
42,Mo,molybdenum,98Mo,98Mo,98,97.905403609,1.86e-07,2020,AME2020,0.24292,,,0.0008,value,CIAAW 2024,CIAAW 2024,
42,Mo,molybdenum,98Mo,100Mo,100,99.907467982,3.22e-07,2020,AME2020,0.09744,,,0.0006500000000000001,value,CIAAW 2024,CIAAW 2024,
43,Tc,technetium,97Tc,97Tc,97,96.90636072,4.42e-06,2020,AME2020,1.0,,,,radioactive,CIAAW 2024,CIAAW 2024,
44,Ru,ruthenium,102Ru,96Ru,96,95.90758891,1.82e-07,2020,AME2020,0.0554,,,0.0014,value,CIAAW 2024,CIAAW 2024,g
44,Ru,ruthenium,102Ru,98Ru,98,97.905286709,6.937e-06,2020,AME2020,0.0187,,,0.00030000000000000003,value,CIAAW 2024,CIAAW 2024,
44,Ru,ruthenium,102Ru,99Ru,99,98.905930284,3.68e-07,2020,AME2020,0.1276,,,0.0014,value,CIAAW 2024,CIAAW 2024,
44,Ru,ruthenium,102Ru,100Ru,100,99.90421046,3.67e-07,2020,AME2020,0.126,,,0.0007,value,CIAAW 2024,CIAAW 2024,
44,Ru,ruthenium,102Ru,101Ru,101,100.905573086,4.43e-07,2020,AME2020,0.1706,,,0.0002,value,CIAAW 2024,CIAAW 2024,
44,Ru,ruthenium,102Ru,102Ru,102,101.904340312,4.46e-07,2020,AME2020,0.3155,,,0.0014,value,CIAAW 2024,CIAAW 2024,
44,Ru,ruthenium,102Ru,104Ru,104,103.905425312,2.682e-06,2020,AME2020,0.1862,,,0.0027,value,CIAAW 2024,CIAAW 2024,
45,Rh,rhodium,103Rh,103Rh,103,102.905494081,2.47e-06,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
46,Pd,palladium,106Pd,102Pd,102,101.905632292,4.49e-07,2020,AME2020,0.0102,,,0.0001,value,CIAAW 2024,CIAAW 2024,g
46,Pd,palladium,106Pd,104Pd,104,103.904030393,1.434e-06,2020,AME2020,0.1114,,,0.0008,value,CIAAW 2024,CIAAW 2024,
46,Pd,palladium,106Pd,105Pd,105,104.905079479,1.222e-06,2020,AME2020,0.2233,,,0.0008,value,CIAAW 2024,CIAAW 2024,
46,Pd,palladium,106Pd,106Pd,106,105.903480287,1.186e-06,2020,AME2020,0.2733,,,0.00030000000000000003,value,CIAAW 2024,CIAAW 2024,
46,Pd,palladium,106Pd,108Pd,108,107.903891806,1.189e-06,2020,AME2020,0.2646,,,0.0009000000000000001,value,CIAAW 2024,CIAAW 2024,
46,Pd,palladium,106Pd,110Pd,110,109.905172878,6.57e-07,2020,AME2020,0.1172,,,0.0009000000000000001,value,CIAAW 2024,CIAAW 2024,
47,Ag,silver,107Ag,107Ag,107,106.905091509,2.556e-06,2020,AME2020,0.51839,,,8e-05,value,CIAAW 2024,CIAAW 2024,g
47,Ag,silver,107Ag,109Ag,109,108.904755778,1.381e-06,2020,AME2020,0.48161,,,8e-05,value,CIAAW 2024,CIAAW 2024,
48,Cd,cadmium,114Cd,106Cd,106,105.906459791,1.184e-06,2020,AME2020,0.012449999999999996,,,0.00022,value,CIAAW 2024,CIAAW 2024,g
48,Cd,cadmium,114Cd,108Cd,108,107.904183588,1.205e-06,2020,AME2020,0.008879999999999999,,,0.00011,value,CIAAW 2024,CIAAW 2024,
48,Cd,cadmium,114Cd,110Cd,110,109.90300747,4.07e-07,2020,AME2020,0.12469999999999998,,,0.0006100000000000001,value,CIAAW 2024,CIAAW 2024,
